client_id,client_name,profile_creation_date
2001,Client_User_2001,2024-07-05
2002,Client_User_2002,2025-04-01
2003,Client_User_2003,2025-05-16
2004,Client_User_2004,2025-01-08
2005,Client_User_2005,2025-01-23
2006,Client_User_2006,2025-02-03
2007,Client_User_2007,2025-03-18
2008,Client_User_2008,2025-04-06
2009,Client_User_2009,2024-06-16
2010,Client_User_2010,2024-08-22
2011,Client_User_2011,2025-04-14
2012,Client_User_2012,2024-07-30
2013,Client_User_2013,2024-10-24
2014,Client_User_2014,2025-05-12
2015,Client_User_2015,2025-05-13
2016,Client_User_2016,2025-04-11
2017,Client_User_2017,2025-02-06
2018,Client_User_2018,2025-01-29
2019,Client_User_2019,2024-09-12
2020,Client_User_2020,2024-07-24
2021,Client_User_2021,2025-05-15
2022,Client_User_2022,2024-08-14
2023,Client_User_2023,2025-02-16
2024,Client_User_2024,2024-06-30
2025,Client_User_2025,2024-06-03
2026,Client_User_2026,2024-08-22
2027,Client_User_2027,2024-10-26
2028,Client_User_2028,2025-02-05
2029,Client_User_2029,2024-10-11
2030,Client_User_2030,2024-07-31
