timestamp,experiment_name,num_layers,hidden_channels,epochs_run,final_train_loss,final_val_loss,AUC-ROC,MAE,RMSE,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
5/26/2025 10:33,hgt_2layers_64hidden_60epochs,2,32,60,0.465979308,0.468573332,0.817355179,0.336264,0.431847627,0.304,0.171730159,0.302057581,0.298,0.336753968,0.322423276,0.251,0.566634921,0.44454878
5/26/2025 10:34,hgt_2layers_64hidden_60epochs,2,64,60,0.454685092,0.445637256,0.83028881,0.306891762,0.406011891,0.336,0.189527778,0.329618084,0.314,0.354019841,0.341337829,0.2605,0.585873016,0.463142291
5/26/2025 10:35,hgt_2layers_64hidden_60epochs,2,128,60,0.442558467,0.445077688,0.809069008,0.307131001,0.423899382,0.312,0.175007937,0.310846109,0.297,0.332936508,0.322522878,0.2345,0.526634921,0.425021949
5/26/2025 10:36,hgt_2layers_64hidden_60epochs,2,256,60,0.452070445,0.438468158,0.811343135,0.313834976,0.423071919,0.244,0.134198413,0.254335745,0.287,0.320285714,0.299439492,0.236,0.529968254,0.410436605
5/26/2025 10:50,hgt_2layers_64hidden_60epochs,2,256,60,0.447364956,0.432635427,0.813717341,0.314760471,0.417085736,0.274,0.155305556,0.270337443,0.284,0.320551587,0.300843727,0.2435,0.548039683,0.421128096
5/26/2025 10:56,hgt_2layers_64hidden_60epochs,2,256,60,0.475727886,0.458616555,0.786873909,0.335998906,0.430584829,0.254,0.140738095,0.252859219,0.272,0.302916667,0.283434796,0.2225,0.497829365,0.386663857
2025-05-26 11:07:34,hgt_2layers_64hidden_60epochs,2,256,60,0.4573693573474884,0.43677249550819397,0.8184597222222222,0.3165921695429267,0.42273061772529613,0.254,0.13988095238095238,0.24516171829585626,0.26899999999999996,0.2987539682539682,0.2755787014285419,0.235,0.5296349206349206,0.3956902647170425
2025-05-26 11:24:25,hgt_2layers_64hidden_60epochs,2,256,60,0.45191827416419983,0.45252835750579834,0.814488630952381,0.3405810892491729,0.4390219495602759,0.272,0.15409126984126983,0.2689230667528176,0.27599999999999997,0.3087222222222223,0.2940409306164527,0.23049999999999998,0.5179761904761905,0.40344417282352707
2025-05-26 11:37:05,hgt_2layers_64hidden_60epochs,2,256,60,0.4558655023574829,0.4537491500377655,0.8160576190476189,0.340809855780813,0.4444458859893968,0.312,0.1741666666666667,0.3131205100410337,0.302,0.33727380952380953,0.3278484631669415,0.23499999999999996,0.5295039682539682,0.4278642647535314
2025-05-26 11:49:04,hgt_2layers_64hidden_60epochs,2,256,60,0.45513150095939636,0.4453776180744171,0.8157245634920636,0.3259279073355721,0.4394018106030895,0.29200000000000004,0.16448015873015873,0.2854589837424636,0.301,0.3396150793650794,0.3174749419805405,0.233,0.5234960317460317,0.4143912511201563
2025-05-26 12:53:56,test_001,2,256,60,0.4369787871837616,0.4256213307380676,0.8225180158730159,0.3043727708811845,0.4193642674039149,0.29400000000000004,0.16580158730158728,0.2849588135499168,0.3,0.3378055555555556,0.31471297327631564,0.24900000000000003,0.5594047619047618,0.432014107175634
2025-05-28 00:20:04,test_001,2,256,60,0.4563990533351898,0.4479598104953766,0.815265257936508,0.29853928674184455,0.3929557061039497,0.276,0.15494047619047618,0.27451054913077666,0.27899999999999997,0.3143611111111111,0.29790761898327506,0.22949999999999998,0.5192380952380952,0.4067056221262309
2025-05-28 01:41:42,test_002,2,256,20,0.6405503153800964,0.6151286363601685,0.6719592063492064,0.5208982843330737,0.5598365457018433,0.14600000000000002,0.08288095238095237,0.13686968662031018,0.17299999999999996,0.1972539682539683,0.17216143545252557,0.148,0.3347936507936508,0.24496633172385407
2025-05-28 01:53:36,test_001,2,256,60,0.46374642848968506,0.44730135798454285,0.8081954563492063,0.3078480334726825,0.41297514546910136,0.29000000000000004,0.1629484126984127,0.2917019312671567,0.265,0.2996984126984127,0.29589616948868236,0.24299999999999997,0.5501230158730158,0.42723325760862446
2025-05-28 04:57:14,test_001,2,256,60,0.47166043519973755,0.45543602108955383,0.8032262698412699,0.34864313235722055,0.44855979733648665,0.278,0.15343650793650793,0.2822526117805795,0.27099999999999996,0.3060634920634921,0.2954566258353941,0.23450000000000004,0.5285674603174603,0.4122528629525584
2025-06-01 01:50:37,test_001,2,256,60,0.4603007137775421,0.4611755907535553,0.8067361111111111,0.3228930172996908,0.4365751191617562,0.23800000000000002,0.13359920634920636,0.2263032566046261,0.23900000000000005,0.2720952380952381,0.24870481084663595,0.22799999999999998,0.5171507936507937,0.37799813098948626
